date,standardised_amount
01/01/2016,5.477985642
02/01/2016,-0.213463166
03/01/2016,-0.213463166
04/01/2016,-0.213463166
05/01/2016,-0.213463166
06/01/2016,-0.213463166
07/01/2016,-0.213463166
08/01/2016,-0.213463166
09/01/2016,-0.213463166
10/01/2016,-0.213463166
11/01/2016,-0.213463166
12/01/2016,-0.213463166
13/01/2016,-0.213463166
14/01/2016,-0.213463166
15/01/2016,-0.213463166
16/01/2016,-0.213463166
17/01/2016,0.439303649
18/01/2016,-0.213463166
19/01/2016,0.640438345
20/01/2016,-0.213463166
21/01/2016,0.891672525
22/01/2016,0.154915398
23/01/2016,-0.213463166
24/01/2016,-0.213463166
25/01/2016,0.154915398
26/01/2016,0.523293962
27/01/2016,-0.213463166
28/01/2016,-0.213463166
29/01/2016,-0.213463166
30/01/2016,0.523293962
31/01/2016,-0.213463166
01/02/2016,-0.213463166
02/02/2016,-0.213463166
03/02/2016,-0.213463166
04/02/2016,0.523293962
05/02/2016,-0.213463166
06/02/2016,-0.213463166
07/02/2016,-0.213463166
08/02/2016,-0.213463166
09/02/2016,-0.213463166
10/02/2016,0.271691403
11/02/2016,-0.213463166
12/02/2016,-0.213463166
13/02/2016,-0.213463166
14/02/2016,-0.213463166
15/02/2016,-0.213463166
16/02/2016,-0.213463166
17/02/2016,-0.213463166
18/02/2016,-0.213463166
19/02/2016,-0.213463166
20/02/2016,-0.213463166
21/02/2016,-0.213463166
22/02/2016,-0.213463166
23/02/2016,-0.213463166
24/02/2016,-0.213463166
25/02/2016,-0.213463166
26/02/2016,-0.213463166
27/02/2016,-0.213463166
28/02/2016,-0.213463166
29/02/2016,-0.213463166
01/03/2016,-0.213463166
02/03/2016,-0.213463166
03/03/2016,0.154915398
04/03/2016,-0.213463166
05/03/2016,-0.213463166
06/03/2016,0.302266823
07/03/2016,-0.213463166
08/03/2016,-0.213463166
09/03/2016,-0.213463166
10/03/2016,-0.213463166
11/03/2016,-0.213463166
12/03/2016,-0.213463166
13/03/2016,-0.213463166
14/03/2016,-0.213463166
15/03/2016,2.276039167
16/03/2016,-0.213463166
17/03/2016,-0.213463166
18/03/2016,0.029077281
19/03/2016,-0.213463166
20/03/2016,-0.213463166
21/03/2016,-0.213463166
22/03/2016,-0.213463166
23/03/2016,-0.213463166
24/03/2016,-0.213463166
25/03/2016,-0.213463166
26/03/2016,-0.213463166
27/03/2016,-0.213463166
28/03/2016,-0.213463166
29/03/2016,-0.213463166
30/03/2016,0.514231849
31/03/2016,-0.213463166
01/04/2016,-0.213463166
02/04/2016,-0.213463166
03/04/2016,-0.213463166
04/04/2016,-0.213463166
05/04/2016,-0.213463166
06/04/2016,1.155799955
07/04/2016,0.326285106
08/04/2016,-0.06611174
09/04/2016,-0.213463166
10/04/2016,-0.213463166
11/04/2016,-0.213463166
12/04/2016,-0.213463166
13/04/2016,-0.213463166
14/04/2016,-0.213463166
15/04/2016,-0.213463166
16/04/2016,-0.213463166
17/04/2016,-0.213463166
18/04/2016,-0.213463166
19/04/2016,-0.213463166
20/04/2016,-0.213463166
21/04/2016,-0.213463166
22/04/2016,-0.213463166
23/04/2016,-0.213463166
24/04/2016,-0.213463166
25/04/2016,-0.213463166
26/04/2016,-0.213463166
27/04/2016,-0.213463166
28/04/2016,0.891672525
29/04/2016,-0.213463166
30/04/2016,0.154915398
01/05/2016,-0.213463166
02/05/2016,-0.213463166
03/05/2016,-0.213463166
04/05/2016,-0.213463166
05/05/2016,-0.213463166
06/05/2016,-0.213463166
07/05/2016,-0.213463166
08/05/2016,-0.213463166
09/05/2016,-0.213463166
10/05/2016,-0.213463166
11/05/2016,0.354797607
12/05/2016,0.070630383
13/05/2016,-0.213463166
14/05/2016,-0.213463166
15/05/2016,-0.213463166
16/05/2016,-0.213463166
17/05/2016,-0.213463166
18/05/2016,-0.099781541
19/05/2016,-0.213463166
20/05/2016,-0.213463166
21/05/2016,-0.213463166
22/05/2016,-0.213463166
23/05/2016,-0.213463166
24/05/2016,-0.213463166
25/05/2016,-0.213463166
26/05/2016,-0.213463166
27/05/2016,-0.213463166
28/05/2016,-0.213463166
29/05/2016,-0.213463166
30/05/2016,-0.213463166
31/05/2016,0.272059781
01/06/2016,0.275743567
02/06/2016,-0.213463166
03/06/2016,-0.213463166
04/06/2016,-0.213463166
05/06/2016,-0.213463166
06/06/2016,-0.213463166
07/06/2016,-0.213463166
08/06/2016,-0.213463166
09/06/2016,-0.213463166
10/06/2016,-0.213463166
11/06/2016,-0.213463166
12/06/2016,-0.213463166
13/06/2016,-0.213463166
14/06/2016,-0.213463166
15/06/2016,-0.213463166
16/06/2016,-0.213463166
17/06/2016,-0.213463166
18/06/2016,-0.213463166
19/06/2016,-0.213463166
20/06/2016,1.00071258
21/06/2016,-0.213463166
22/06/2016,-0.213463166
23/06/2016,-0.213463166
24/06/2016,-0.213463166
25/06/2016,-0.213463166
26/06/2016,-0.213463166
27/06/2016,-0.213463166
28/06/2016,-0.213463166
29/06/2016,-0.213463166
30/06/2016,0.837152498
01/07/2016,-0.213463166
02/07/2016,-0.213463166
03/07/2016,-0.213463166
04/07/2016,-0.213463166
05/07/2016,0.601390217
06/07/2016,-0.213463166
07/07/2016,-0.213463166
08/07/2016,-0.213463166
09/07/2016,0.84673034
10/07/2016,-0.213463166
11/07/2016,-0.213463166
12/07/2016,-0.213463166
13/07/2016,-0.213463166
14/07/2016,-0.213463166
15/07/2016,-0.213463166
16/07/2016,0.049559129
17/07/2016,-0.213463166
18/07/2016,-0.213463166
19/07/2016,1.12375102
20/07/2016,-0.213463166
21/07/2016,-0.213463166
22/07/2016,-0.213463166
23/07/2016,-0.213463166
24/07/2016,-0.213463166
25/07/2016,-0.213463166
26/07/2016,-0.213463166
27/07/2016,-0.213463166
28/07/2016,-0.213463166
29/07/2016,-0.213463166
30/07/2016,-0.213463166
31/07/2016,-0.213463166
01/08/2016,-0.213463166
02/08/2016,0.523293962
03/08/2016,1.789779463
04/08/2016,-0.213463166
05/08/2016,-0.213463166
06/08/2016,-0.213463166
07/08/2016,-0.213463166
08/08/2016,-0.213463166
09/08/2016,-0.213463166
10/08/2016,-0.213463166
11/08/2016,1.260051089
12/08/2016,-0.213463166
13/08/2016,-0.213463166
14/08/2016,-0.213463166
15/08/2016,-0.213463166
16/08/2016,-0.213463166
17/08/2016,-0.213463166
18/08/2016,-0.213463166
19/08/2016,-0.213463166
20/08/2016,-0.213463166
21/08/2016,-0.213463166
22/08/2016,-0.213463166
23/08/2016,-0.213463166
24/08/2016,-0.213463166
25/08/2016,0.054716429
26/08/2016,-0.213463166
27/08/2016,-0.213463166
28/08/2016,-0.213463166
29/08/2016,-0.213463166
30/08/2016,-0.213463166
31/08/2016,-0.213463166
01/09/2016,0.154915398
02/09/2016,-0.213463166
03/09/2016,-0.213463166
04/09/2016,-0.213463166
05/09/2016,-0.213463166
06/09/2016,1.380879258
07/09/2016,-0.213463166
08/09/2016,-0.213463166
09/09/2016,-0.213463166
10/09/2016,-0.213463166
11/09/2016,-0.213463166
12/09/2016,-0.213463166
13/09/2016,-0.213463166
14/09/2016,1.398561429
15/09/2016,-0.213463166
16/09/2016,-0.213463166
17/09/2016,-0.213463166
18/09/2016,1.131855349
19/09/2016,-0.213463166
20/09/2016,-0.213463166
21/09/2016,-0.139787453
22/09/2016,-0.213463166
23/09/2016,-0.213463166
24/09/2016,-0.213463166
25/09/2016,-0.213463166
26/09/2016,-0.213463166
27/09/2016,-0.213463166
28/09/2016,-0.213463166
29/09/2016,-0.213463166
30/09/2016,-0.213463166
01/10/2016,0.33394738
02/10/2016,-0.213463166
03/10/2016,-0.213463166
04/10/2016,-0.213463166
05/10/2016,-0.213463166
