article,Anom1Sum,Anom1Mobile,Anom1Desktop,Anom2Sum,Anom2Mobile,Anom2Desktop,mean_views,median_views,max_views,baseline_2015,max_views_broadcast,tweet,seconds,taxa_gen,status,episode,diff,pred_prey,diaries
African_buffalo,0,0,0,0,0,0,1016,979,2129,950,1327,79,255,mammalia,1,5,377,prey,0
Amitermes_meridionalis,2,2,2,2,2,2,7,5,160,4,160,,65,insecta,,5,156,other,0
Arctic_wolf,0,1,0,0,1,0,509,476,1299,449,804,150,206,mammalia,1,5,355,pred,0
Atta_(genus),0,0,0,0,0,0,39,36,103,47,55,3,130,insecta,,5,8,other,0
Bamboo_lemur,2,2,1,2,2,1,36,32,456,34,240,,9,mammalia,5,1,206,other,0
Barn_owl,0,0,0,0,0,0,1130,926,31060,861,1405,122,53,aves,1,5,544,pred,0
Bison,0,0,0,0,1,0,1775,1644,14321,1557,2974,23,293,mammalia,2,5,1417,other,0
Bobcat,2,2,0,2,2,1,2709,2608,9476,2555,9476,547,360,mammalia,1,2,6921,other,0
Buller's_albatross,2,2,2,2,2,2,20,15,333,12,333,128,215,aves,2,1,321,other,0
Butcherbird,2,2,2,2,2,2,150,122,1971,125,1971,12,106,aves,1,4,1846,other,0
Caiman,0,0,0,2,1,1,956,816,5897,802,3469,164,418,reptilia,1,3,2667,prey,0
Capybara,0,0,0,0,0,0,3122,2514,14125,2194,5466,203,418,mammalia,1,3,3272,other,0
Caribou,1,1,1,2,1,1,1269,866,101553,857,3710,203,270,mammalia,3,5,2853,prey,0
Chinstrap_penguin,2,2,2,2,2,2,170,142,2621,133,2621,,937,aves,1,1,2488,other,1
Christmas_Island_red_crab,0,1,0,2,2,1,221,186,1520,174,859,,198,malacostraca,,1,685,prey,0
Click_beetle,0,0,0,0,0,0,234,176,670,175,191,10,72,insecta,,3,16,other,0
Colobinae,0,0,0,0,0,0,97,94,175,89,138,9,607,mammalia,1,6,49,other,1
Colubridae,1,1,1,2,2,1,254,237,1281,222,1273,1164,292,reptilia,,1,1051,pred,0
Corvidae,0,0,0,0,0,0,550,515,2971,538,499,6,116,aves,,2,-39,other,0
Coyote,0,0,0,0,0,0,3664,3534,15538,3416,4161,5,24,mammalia,1,2,745,other,0
Crab,0,0,0,0,0,0,1598,1595,2252,1618,1736,,20,malacostraca,,1,118,other,0
Crab,0,0,0,0,0,0,1598,1595,2252,1618,1671,10,36,malacostraca,,6,53,other,0
Darkling_beetle,0,0,0,0,0,0,153,150,322,148,219,188,217,insecta,,4,71,other,0
Deathstalker,0,0,0,0,1,0,440,338,10761,324,1327,108,140,arachnida,,4,1003,prey,0
Desert_long-eared_bat,2,2,2,2,2,2,10,6,268,5,268,118,185,mammalia,1,4,263,pred,0
Draco_(genus),1,1,0,2,2,2,137,119,1022,103,571,40,180,reptilia,,3,468,other,0
Elephant,0,0,0,0,0,0,5207,5176,21200,5236,5630,235,132,mammalia,3,4,394,other,0
Elephant,0,0,0,0,0,0,5207,5176,21200,5236,5576,,193,mammalia,3,5,340,other,1
Fairy_tern,2,2,1,2,2,2,24,21,187,20,187,2,277,aves,1,1,167,other,0
Fire_ant,0,0,0,0,0,0,1093,1019,6939,943,737,3,12,insecta,,3,-206,other,1
Flamingo,1,1,0,2,2,1,1531,1498,3351,1406,3351,219,263,aves,2,2,1945,other,0
Fox,0,1,0,1,1,0,3210,3190,6076,3056,4760,170,194,mammalia,1,5,1704,pred,0
Giant_anteater,1,1,0,2,2,0,500,366,40234,324,1138,10,117,mammalia,3,5,814,other,0
Giant_otter,1,2,1,2,2,1,545,460,9333,426,2656,75,9,mammalia,4,3,2230,other,0
Giraffe,0,0,0,0,0,0,3518,3190,16409,3123,3797,108,172,mammalia,3,4,674,prey,0
Glass_frog,0,0,0,2,2,0,198,158,7880,157,453,124,328,amphibia,1,3,296,prey,0
Golden_eagle,1,2,0,2,2,0,1908,1868,4461,1790,3644,193,824,aves,1,2,1854,other,1
Golden_mole,2,2,2,2,2,2,122,85,3314,81,3314,112,153,mammalia,2,4,3233,other,0
Goldeneye_(duck),2,1,0,2,2,0,36,33,106,35,106,176,26,aves,1,2,71,other,0
Great_bowerbird,1,2,1,2,2,2,14,12,158,10,104,52,290,aves,1,6,94,other,0
Grizzly_bear,0,0,0,0,1,0,2745,2593,5680,2596,3969,63,417,mammalia,1,2,1373,other,0
Ground_squirrel,0,0,0,0,0,0,371,335,3695,350,468,19,115,mammalia,1,4,118,prey,0
Harris's_hawk,2,2,2,2,2,2,260,252,715,243,715,67,132,aves,1,4,472,pred,0
Hawksbill_sea_turtle,0,2,0,2,2,1,377,366,1065,356,698,652,241,reptilia,5,6,342,other,0
Hummingbird,0,0,0,0,0,0,2510,2192,44439,2118,2692,,36,aves,,3,574,other,0
Indri,0,0,0,0,0,0,134,108,2270,106,199,,13,mammalia,5,1,93,other,0
Indri,2,2,2,2,2,2,134,108,2270,106,2270,44,218,mammalia,5,3,2164,other,0
Jackson's_widowbird,2,2,2,2,2,2,8,4,546,4,546,16,242,aves,2,5,542,other,0
Jaguar,0,0,0,0,1,0,4215,3848,25847,3947,8802,1066,342,mammalia,2,3,4855,pred,0
Komodo_dragon,1,1,1,2,2,2,3716,3420,12792,3432,12792,59,290,reptilia,3,1,9360,other,0
Kori_bustard,2,2,2,2,2,2,218,210,1313,160,1313,0,41,aves,2,5,1153,other,0
Lagidium,2,2,1,2,2,2,15,14,191,14,191,11,158,mammalia,1,2,177,other,0
Lemur,0,0,0,0,0,0,1543,1397,12276,1392,2350,,55,mammalia,,1,958,other,0
Leopard,0,1,0,1,1,0,3089,2994,8655,3046,4582,432,451,mammalia,3,6,1536,pred,1
Lion,0,0,0,0,0,0,6682,6657,13204,7240,7597,226,347,mammalia,3,4,357,pred,0
Lion,0,0,0,0,0,0,6682,6657,13204,7240,7410,156,386,mammalia,3,5,170,pred,0
Lizard,0,0,0,0,0,0,1790,1646,3863,1514,2699,,30,reptilia,,1,1185,other,0
