article,V1
African_buffalo,1327
Amitermes_meridionalis,160
Arctic_wolf,804
Atta_(genus),55
Bamboo_lemur,240
Barn_owl,1405
Bison,2974
Bobcat,9476
Buller's_albatross,333
Butcherbird,1971
Caiman,3469
Capybara,5466
Caribou,3710
Chinstrap_penguin,2621
Christmas_Island_red_crab,859
Click_beetle,191
Colobinae,138
Colubridae,1273
Corvidae,499
Coyote,4161
Crab,1736
Crab,1671
Darkling_beetle,219
Deathstalker,1327
Desert_long-eared_bat,268
Draco_(genus),571
Elephant,5630
Elephant,5576
Fairy_tern,187
Fire_ant,737
Flamingo,3351
Fox,4760
Giant_anteater,1138
Giant_otter,2656
Giraffe,3797
Glass_frog,453
Golden_eagle,3644
Golden_mole,3314
Goldeneye_(duck),106
Great_bowerbird,104
Grizzly_bear,3969
Ground_squirrel,468
Harris's_hawk,715
Hawksbill_sea_turtle,698
Hummingbird,2692
Indri,199
Indri,2270
Jackson's_widowbird,546
Jaguar,8802
Komodo_dragon,12792
Kori_bustard,1313
Lagidium,191
Lemur,2350
Leopard,4582
Lion,7597
Lion,7410
Lizard,2699
Locust,7499
Marine_iguana,3365
Marmot,1580
Micromys,161
Millipede,1795
Mouse,1735
Namaqua_chameleon,102
Noddy_(tern),24
Nubian_ibex,1124
Oryx,684
Ostrich,2846
Pachydactylus_rangei,33
Pale_chanting_goshawk,86
Peregrine_falcon,3318
Pigeon,202
Pygmy_three-toed_sloth,1469
Raccoon,6008
Railroad_worm,1469
Rat,1898
Red_bird-of-paradise,669
Red_fox,3035
Rhesus_macaque,811
Rhinoceros,2462
Ring-tailed_lemur,496
River_dolphin,2719
Saiga_antelope,4936
Sandgrouse,725
Serval,3336
Seychelles_fody,25
Shearwater,299
Sifaka,175
Skua,421
Sloth_bear,7004
Smooth-coated_otter,130
Snares_penguin,202
Snow_Leopard,227
Southern_African_vlei_rat,21
Southern_carmine_bee-eater,130
Spider,5651
Spider_monkey,1205
Spotted_hyena,2696
Squirrel,2173
Starling,1296
Sword-billed_hummingbird,694
Termite,1607
Tiger,7977
Uroplatus,72
Vole,990
Wasp,1534
Wels_catfish,2967
Wild_water_buffalo,483
Wildebeest,1276
Wilson's_bird-of-paradise,1134
Yellow_crazy_ant,1322
Zebra,3025
