name,series
Pygmy_three-toed_sloth,PE2
Komodo_dragon,PE2
Lemur,PE2
Indri,PE2
Ring-tailed_lemur,PE2
Bamboo_lemur,PE2
Sifaka,PE2
Marine_iguana,PE2
Crab,PE2
Lizard,PE2
Colubridae,PE2
Snares_penguin,PE2
Shearwater,PE2
Buller's_albatross,PE2
Fairy_tern,PE2
Noddy_(tern),PE2
Seychelles_fody,PE2
Christmas_Island_red_crab,PE2
Yellow_crazy_ant,PE2
Chinstrap_penguin,PE2
Skua,PE2
Snow_Leopard,PE2
Nubian_ibex,PE2
Red_fox,PE2
Golden_eagle,PE2
Corvidae,PE2
Grizzly_bear,PE2
Marmot,PE2
Bobcat,PE2
Mouse,PE2
Coyote,PE2
Goldeneye_(duck),PE2
Squirrel,PE2
Lagidium,PE2
Flamingo,PE2
Indri,PE2
Spider_monkey,PE2
Draco_(genus),PE2
Hummingbird,PE2
Sword-billed_hummingbird,PE2
River_dolphin,PE2
Capybara,PE2
Giant_otter,PE2
Caiman,PE2
Jaguar,PE2
Uroplatus,PE2
Glass_frog,PE2
Wasp,PE2
Click_beetle,PE2
Railroad_worm,PE2
Millipede,PE2
Red_bird-of-paradise,PE2
Wilson's_bird-of-paradise,PE2
Rat,PE2
Spider,PE2
Fire_ant,PE2
Lion,PE2
Oryx,PE2
Giraffe,PE2
Harris's_hawk,PE2
Ground_squirrel,PE2
Butcherbird,PE2
Locust,PE2
Zebra,PE2
Elephant,PE2
Sandgrouse,PE2
Pale_chanting_goshawk,PE2
Golden_mole,PE2
Desert_long-eared_bat,PE2
Deathstalker,PE2
Darkling_beetle,PE2
Pachydactylus_rangei,PE2
Namaqua_chameleon,PE2
Saiga_antelope,PE2
Lion,PE2
African_buffalo,PE2
Micromys,PE2
Barn_owl,PE2
Southern_carmine_bee-eater,PE2
Kori_bustard,PE2
Ostrich,PE2
Elephant,PE2
Serval,PE2
Southern_African_vlei_rat,PE2
Wildebeest,PE2
Jackson's_widowbird,PE2
Atta_(genus),PE2
Amitermes_meridionalis,PE2
Termite,PE2
Giant_anteater,PE2
Bison,PE2
Fox,PE2
Vole,PE2
Caribou,PE2
Arctic_wolf,PE2
Rhinoceros,PE2
Wild_water_buffalo,PE2
Sloth_bear,PE2
Tiger,PE2
Elephant,PE2
Colobinae,PE2
Peregrine_falcon,PE2
Leopard,PE2
Starling,PE2
Great_bowerbird,PE2
Raccoon,PE2
Rhesus_macaque,PE2
Spotted_hyena,PE2
Pigeon,PE2
Wels_catfish,PE2
Hawksbill_sea_turtle,PE2
Crab,PE2
Smooth-coated_otter,PE2
Waterfall_climbing_cave_fish,PE1
Cichlid,PE1
Opistognathidae,PE1
Ocean_sunfish,PE1
Lophius,PE1
Pilot_fish,PE1
Pygmy_seahorse,PE1
Rainbow_runner,PE1
Red-bellied_piranha,PE1
Sailfish,PE1
Salmon,PE1
Sawtooth_eel,PE1
Mackerel_scad,PE1
Carangidae,PE1
Yellow_goatfish,PE1
Yellowfin_tuna,PE1
Giant_salamander,PE1
Texas_blind_salamander,PE1
Bactrian_camel,PE1
Blue_whale,PE1
Bongo_(antelope),PE1
Bottlenose_dolphin,PE1
Dromedary,PE1
Dusky_dolphin,PE1
Guanaco,PE1
Humpback_whale,PE1
Impala,PE1
Lechwe,PE1
Markhor,PE1
Mongolian_gazelle,PE1
Musk_deer,PE1
Muskox,PE1
Pygmy_hog,PE1
Red_river_hog,PE1
Walia_ibex,PE1
Wild_yak,PE1
Sunflower_sea_star,PE1
Adélie_penguin,PE1
Baikal_teal,PE1
Bat_hawk,PE1
Black_stork,PE1
Blood_pheasant,PE1
Booby,PE1
Cave_swiftlet,PE1
Demoiselle_crane,PE1
Eider,PE1
Frigatebird,PE1
Gila_woodpecker,PE1
Snow_goose,PE1
Ground_tit,PE1
Himalayan_monal,PE1
King_penguin,PE1
Lesser_florican,PE1
Little_auk,PE1
Plover,PE1
Lagopus,PE1
Red-billed_quelea,PE1
Roseate_spoonbill,PE1
Rufous-bellied_eagle,PE1
Sandhill_crane,PE1
Snowfinch,PE1
Snow_petrel,PE1
Socotra_cormorant,PE1
Tragopan,PE1
Wattled_crane,PE1
Wood_stork,PE1
Mussel,PE1
Amur_leopard,PE1
Arctic_fox,PE1
Brown_fur_seal,PE1
Elephant_seal,PE1
Ethiopian_wolf,PE1
Fennec_fox,PE1
Baikal_seal,PE1
Giant_panda,PE1
African_wild_dog,PE1
Polar_bear,PE1
Cougar,PE1
Red_panda,PE1
Sea_lion,PE1
Tibetan_sand_fox,PE1
Walrus,PE1
Grimpoteuthis,PE1
Nautilus,PE1
Vampire_squid,PE1
Great_white_shark,PE1
Manta_ray,PE1
Sand_shark,PE1
Stingray,PE1
Whale_shark,PE1
Krill,PE1
Colugo,PE1
Red_kangaroo,PE1
Sand_dollar,PE1
Black_fly,PE1
Arachnocampa,PE1
Dobsonfly,PE1
Chironomidae,PE1
Pika,PE1
Atyopsis,PE1
Isopoda,PE1
Majoidea,PE1
Squat_lobster,PE1
Capuchin_monkey,PE1
Chimpanzee,PE1
Golden_snub-nosed_monkey,PE1
Howler_monkey,PE1
Orangutan,PE1
Siamang,PE1
Squirrel_monkey,PE1
Tamarin,PE1
African_forest_elephant,PE1
Sea_spider,PE1
Remipedia,PE1
Laticauda_colubrina,PE1
Platysaurus,PE1
Green_sea_turtle,PE1
Mugger_crocodile,PE1
Nile_crocodile,PE1
Dugong,PE1
Salp,PE1
