group,value,species
pe2,377,African_buffalo
pe2,156,Amitermes_meridionalis
pe2,355,Arctic_wolf
pe2,8,Atta_(genus)
pe2,206,Bamboo_lemur
pe2,544,Barn_owl
pe2,1417,Bison
pe2,6921,Bobcat
pe2,321,Buller's_albatross
pe2,1846,Butcherbird
pe2,2667,Caiman
pe2,3272,Capybara
pe2,2853,Caribou
pe2,2488,Chinstrap_penguin
pe2,685,Christmas_Island_red_crab
pe2,16,Click_beetle
pe2,49,Colobinae
pe2,1051,Colubridae
pe2,-39,Corvidae
pe2,745,Coyote
pe2,118,Crab
pe2,53,Crab
pe2,71,Darkling_beetle
pe2,1003,Deathstalker
pe2,263,Desert_long-eared_bat
pe2,468,Draco_(genus)
pe2,394,Elephant
pe2,340,Elephant
pe2,167,Fairy_tern
pe2,-206,Fire_ant
pe2,1945,Flamingo
pe2,1704,Fox
pe2,814,Giant_anteater
pe2,2230,Giant_otter
pe2,674,Giraffe
pe2,296,Glass_frog
pe2,1854,Golden_eagle
pe2,3233,Golden_mole
pe2,71,Goldeneye_(duck)
pe2,94,Great_bowerbird
pe2,1373,Grizzly_bear
pe2,118,Ground_squirrel
pe2,472,Harris's_hawk
pe2,342,Hawksbill_sea_turtle
pe2,574,Hummingbird
pe2,93,Indri
pe2,2164,Indri
pe2,542,Jackson's_widowbird
pe2,4855,Jaguar
pe2,9360,Komodo_dragon
pe2,1153,Kori_bustard
pe2,177,Lagidium
pe2,958,Lemur
pe2,1536,Leopard
pe2,357,Lion
pe2,170,Lion
pe2,1185,Lizard
pe2,6352,Locust
pe2,3090,Marine_iguana
pe2,609,Marmot
pe2,151,Micromys
pe2,660,Millipede
pe2,390,Mouse
pe2,78,Namaqua_chameleon
pe2,17,Noddy_(tern)
pe2,1008,Nubian_ibex
pe2,242,Oryx
pe2,668,Ostrich
pe2,25,Pachydactylus_rangei
pe2,73,Pale_chanting_goshawk
pe2,1369,Peregrine_falcon
pe2,-12,Pigeon
pe2,1373,Pygmy_three-toed_sloth
pe2,2370,Raccoon
pe2,1444,Railroad_worm
pe2,4,Rat
pe2,641,Red_bird-of-paradise
pe2,796,Red_fox
pe2,311,Rhesus_macaque
pe2,136,Rhinoceros
pe2,69,Ring-tailed_lemur
pe2,2469,River_dolphin
pe2,4636,Saiga_antelope
pe2,675,Sandgrouse
pe2,2131,Serval
pe2,21,Seychelles_fody
pe2,197,Shearwater
pe2,68,Sifaka
pe2,200,Skua
pe2,6129,Sloth_bear
pe2,40,Smooth-coated_otter
pe2,172,Snares_penguin
pe2,90,Snow_Leopard
pe2,19,Southern_African_vlei_rat
pe2,113,Southern_carmine_bee-eater
pe2,3225,Spider
pe2,573,Spider_monkey
pe2,1873,Spotted_hyena
pe2,351,Squirrel
pe2,644,Starling
pe2,666,Sword-billed_hummingbird
pe2,56,Termite
pe2,1002,Tiger
pe2,34,Uroplatus
pe2,-8,Vole
pe2,-546,Wasp
pe2,2616,Wels_catfish
pe2,194,Wild_water_buffalo
pe2,374,Wildebeest
pe2,1096,Wilson's_bird-of-paradise
pe2,1162,Yellow_crazy_ant
pe2,925,Zebra
day,1021,Dolphin
day,989,Giant_panda
day,2079,Giraffe
day,162,Honey_bee
day,-153,Lion
day,-130,Orangutan
day,5053,Pangolin
day,5558,Polar_bear
day,1160,Rhinoceros
day,1163,Sea_turtle
day,3896,Sloth
day,91,Snake
day,2247,Tiger
day,149,Vulture
day,20,Whale
day,427,Whale_shark
