article,meanViews,medianViews,maxViews
African_buffalo,1016,979,2129
Amitermes_meridionalis,7,5,160
Arctic_wolf,509,476,1299
Atta_(genus),39,36,103
Bamboo_lemur,36,32,456
Barn_owl,1130,926,31060
Bison,1775,1644,14321
Bobcat,2709,2608,9476
Buller's_albatross,20,15,333
Butcherbird,150,122,1971
Caiman,956,816,5897
Capybara,3122,2514,14125
Caribou,1269,866,101553
Chinstrap_penguin,170,142,2621
Christmas_Island_red_crab,221,186,1520
Click_beetle,234,176,670
Colobinae,97,94,175
Colubridae,254,237,1281
Corvidae,550,515,2971
Coyote,3664,3534,15538
Crab,1598,1595,2252
Darkling_beetle,153,150,322
Deathstalker,440,338,10761
Desert_long-eared_bat,10,6,268
Draco_(genus),137,119,1022
Elephant,5207,5176,21200
Fairy_tern,24,21,187
Fire_ant,1093,1019,6939
Flamingo,1531,1498,3351
Fox,3210,3190,6076
Giant_anteater,500,366,40234
Giant_otter,545,460,9333
Giraffe,3518,3190,16409
Glass_frog,198,158,7880
Golden_eagle,1908,1868,4461
Golden_mole,122,85,3314
Goldeneye_(duck),36,33,106
Great_bowerbird,14,12,158
Grizzly_bear,2745,2593,5680
Ground_squirrel,371,335,3695
Harris's_hawk,260,252,715
Hawksbill_sea_turtle,377,366,1065
Hummingbird,2510,2192,44439
Indri,134,108,2270
Jackson's_widowbird,8,4,546
Jaguar,4215,3848,25847
Komodo_dragon,3716,3420,12792
Kori_bustard,218,210,1313
Lagidium,15,14,191
Lemur,1543,1397,12276
Leopard,3089,2994,8655
Lion,6682,6657,13204
Lizard,1790,1646,3863
Locust,1303,1149,7499
Marine_iguana,475,306,7159
Marmot,1112,969,15877
Micromys,13,10,192
Millipede,1257,1152,32287
Mouse,1318,1294,4662
Namaqua_chameleon,27,24,195
Noddy_(tern),9,7,313
Nubian_ibex,145,125,1124
Oryx,461,447,1499
Ostrich,2259,2202,7928
Pachydactylus_rangei,11,10,33
Pale_chanting_goshawk,14,13,86
Peregrine_falcon,3286,2212,342671
Pigeon,214,205,3059
Pygmy_three-toed_sloth,140,110,2657
Raccoon,3728,3577,15775
Railroad_worm,45,27,1469
Rat,1786,1734,12599
Red_bird-of-paradise,34,27,669
Red_fox,2447,2324,19466
Rhesus_macaque,538,522,1327
Rhinoceros,2389,2322,5137
Ring-tailed_lemur,468,435,1569
River_dolphin,296,251,2719
Saiga_antelope,335,243,5618
Sandgrouse,60,52,725
Serval,1399,1265,4899
Seychelles_fody,4,4,25
Shearwater,106,102,299
Sifaka,112,104,879
Skua,230,210,836
Sloth_bear,1494,1197,7117
Smooth-coated_otter,103,99,320
Snares_penguin,43,34,537
Snow_Leopard,102,91,1238
Southern_African_vlei_rat,3,2,168
Southern_carmine_bee-eater,19,18,130
Spider,3173,2479,95323
Spider_monkey,638,604,1323
Spotted_hyena,881,833,5695
Squirrel,1906,1802,38686
Starling,663,628,2232
Sword-billed_hummingbird,53,33,3763
Termite,1712,1606,7027
Tiger,7026,6988,13874
Uroplatus,71,35,2909
Vole,1026,1008,2453
Wasp,2142,2178,4248
Wels_catfish,390,339,2967
Wild_water_buffalo,323,315,640
Wildebeest,922,904,5462
Wilson's_bird-of-paradise,49,39,1134
Yellow_crazy_ant,191,162,1373
Zebra,2087,2060,3960
